timestamp,temperature,humidity,pressure,temperature_bmp
2023-01-01 00:00:00,-0.2,83.2,1012.46,0.5
2023-01-01 00:10:00,0.1,82.6,1012.65,0.0
2023-01-01 00:20:00,-0.1,89.0,1012.16,-0.1
2023-01-01 00:30:00,-0.1,85.4,1012.35,-0.2
2023-01-01 00:40:00,0.1,83.8,1013.25,-0.7
2023-01-01 00:50:00,-0.1,87.7,1011.71,0.5
2023-01-01 01:00:00,-0.6,94.1,1010.77,-0.1
2023-01-01 01:10:00,-0.3,89.1,1010.91,0.1
2023-01-01 01:20:00,-0.1,92.2,1010.58,0.2
2023-01-01 01:30:00,0.1,92.6,1010.71,0.8
2023-01-01 01:40:00,-0.7,91.5,1010.12,-0.6
2023-01-01 01:50:00,-0.5,90.6,1010.79,-0.4
2023-01-01 02:00:00,-0.9,96.3,1011.21,-0.2
2023-01-01 02:10:00,-1.1,98.8,1011.37,-0.2
2023-01-01 02:20:00,-0.9,96.8,1011.8,-0.9
2023-01-01 02:30:00,-0.6,95.9,1012.55,-0.8
2023-01-01 02:40:00,-1.1,88.0,1011.68,-0.4
2023-01-01 02:50:00,-0.2,89.5,1012.05,-0.8
2023-01-01 03:00:00,-0.3,86.8,1011.37,-0.4
2023-01-01 03:10:00,-0.3,85.9,1012.03,0.5
2023-01-01 03:20:00,-0.2,84.2,1012.0,0.8
2023-01-01 03:30:00,0.3,85.7,1011.63,0.2
2023-01-01 03:40:00,0.0,84.9,1011.31,0.0
2023-01-01 03:50:00,0.6,82.1,1012.3,1.7
2023-01-01 04:00:00,0.1,77.8,1012.07,0.5
2023-01-01 04:10:00,-0.3,82.7,1011.93,0.9
2023-01-01 04:20:00,1.0,77.5,1011.53,0.4
2023-01-01 04:30:00,0.4,83.6,1011.94,-0.0
2023-01-01 04:40:00,-0.4,75.6,1012.13,-0.2
2023-01-01 04:50:00,-0.4,79.5,1012.38,1.2
2023-01-01 05:00:00,0.6,74.4,1013.0,0.5
2023-01-01 05:10:00,1.0,69.3,1014.3,1.5
2023-01-01 05:20:00,1.2,74.5,1013.94,1.5
2023-01-01 05:30:00,0.6,81.6,1013.91,0.5
2023-01-01 05:40:00,0.4,70.9,1013.16,0.3
2023-01-01 05:50:00,1.2,72.4,1013.66,1.1
2023-01-01 06:00:00,0.3,73.5,1014.2,0.6
2023-01-01 06:10:00,0.9,75.6,1013.83,1.7
2023-01-01 06:20:00,1.0,76.1,1013.54,1.0
2023-01-01 06:30:00,1.1,72.2,1012.87,1.5
2023-01-01 06:40:00,0.9,74.6,1013.41,0.9
